"CALL","Filtri","PUT"
"03-06-2022","27-05-2022","20-05-2022","13-05-2022","06-05-2022","Strike","06-05-2022","13-05-2022","20-05-2022","27-05-2022","03-06-2022"
"343,8","336,6","337,1","335,9","336,7","3475","12,1","21,1","30,2","38,4","48,1"
"322,9","315,6","315,5","314,0","313,5","3500","13,8","24,2","33,6","42,5","52,2"
"302,4","295,0","294,2","292,5","290,6","3525","16,0","27,8","37,4","46,9","56,7"
"282,3","274,8","273,4","271,4","268,4","3550","18,7","31,7","41,5","51,7","61,6"
"262,6","254,9","253,0","250,7","246,6","3575","22,0","36,0","46,2","56,8","67,0"
"243,3","235,5","233,2","230,2","225,5","3600","25,9","40,5","51,4","62,4","72,7"
"224,5","216,5","213,9","210,1","205,0","3625","30,3","45,4","57,1","68,4","78,9"
"206,2","197,9","195,2","190,5","184,9","3650","35,3","50,8","63,4","74,9","85,6"
"188,3","180,0","177,2","171,5","165,4","3675","40,8","56,8","70,4","81,9","92,8"
"171,0","162,7","159,8","153,1","146,3","3700","46,7","63,4","78,0","89,6","100,5"
"154,3","146,0","143,1","135,4","127,8","3725","53,2","70,7","86,3","98,0","108,8"
"138,3","130,1","127,0","118,6","110,2","3750","60,6","78,9","95,2","107,1","117,8"
"122,9","115,0","110,2","102,6","93,6","3775","69,0","87,9","103,4","117,0","127,4"
"108,4","100,7","93,7","87,6","78,1","3800","78,6","97,9","112,0","127,7","137,9"
"94,6","87,3","79,4","73,7","63,9","3825","89,3","109,0","122,7","139,3","149,2"
"81,7","74,8","66,9","60,9","51,0","3850","101,4","121,3","135,2","151,8","161,3"
"69,7","63,3","55,7","49,4","39,5","3875","115,0","134,8","149,0","165,3","174,3"
"58,7","52,7","45,8","39,2","29,7","3900","130,1","149,6","164,1","179,8","188,3"
"48,9","43,2","37,3","30,4","21,6","3925","147,1","165,8","180,6","195,3","203,5"
"40,2","34,8","29,9","23,0","15,5","3950","165,9","183,4","198,3","211,9","219,8"
"32,6","27,5","23,7","17,0","10,8","3975","186,3","202,4","217,0","229,6","237,3"
"26,1","21,2","18,4","12,3","7,4","4000","207,9","222,7","236,8","248,3","255,7"
"20,5","16,2","14,0","8,8","4,9","4025","230,4","244,2","257,4","268,3","275,2"
"15,8","12,3","10,3","6,3","3,3","4050","253,8","266,7","278,7","289,5","295,5"
"12,0","9,4","7,5","4,5","2,2","4075","277,7","289,9","300,9","311,6","316,7"
"8,9","7,2","5,3","3,2","1,6","4100","302,0","313,7","323,7","334,4","338,6"
"7,1","5,6","3,8","2,3","1,1","4125","326,6","337,8","347,2","357,8","361,9"
"5,7","4,4","2,8","1,7","0,8","4150","351,3","362,1","371,2","381,6","385,4"
"4,5","3,4","2,1","1,2","0,7","4175","376,2","386,7","395,6","405,6","409,3"
"3,5","2,7","1,7","0,9","0,5","4200","401,1","411,4","420,1","429,9","433,3"
"2,7","2,0","1,4","0,7","0,5","4225","426,0","436,2","444,8","454,3","457,6"
"2,1","1,5","1,1","0,6","0,4","4250","451,0","461,0","469,6","478,8","482,0"
"1,6","1,2","0,9","0,4","0,4","4275","475,9","485,9","494,4","503,4","506,5"
"1,3","0,9","0,7","0,4","0,3","4300","500,8","510,9","519,2","528,2","531,1"
"1,0","0,6","0,6","0,3","0,2","4325","525,8","535,8","544,1","553,0","555,8"
"0,7","0,5","0,5","0,3","0,1","4350","550,7","560,8","569,0","577,8","580,6"
"0,5","0,3","0,4","0,2","0,1","4375","575,6","585,8","593,9","602,7","605,5"
"0,4","0,3","0,3","0,2","0,1","4400","600,6","610,7","618,8","627,6","630,3"
"0,3","0,2","0,2","0,2","0,1","4425","625,6","635,7","643,8","652,5","655,3"
"0,2","0,1","0,2","0,2","0,1","4450","650,6","660,7","668,7","677,5","680,2"
"0,2","0,1","0,1","0,1","0,1","4475","675,6","685,7","693,7","702,5","705,2"
"0,1","0,1","0,1","0,1","0,1","4500","700,6","710,6","718,7","727,5","730,1"
"0,1","0,1","0,1","0,1","0,1","4525","725,6","735,6","743,7","752,5","755,1"
"0,1","0,1","0,1","0,1","0,1","4550","750,6","760,6","768,7","777,5","780,1"
"0,1","0,1","0,1","0,1","0,1","4575","775,6","785,6","793,7","802,5","805,1"
"0,1","0,1","0,1","0,1","0,1","4600","800,6","810,6","818,7","827,5","830,1"
"0,1","0,1","0,1","0,1","0,1","4625","825,6","835,6","843,7","852,5","855,1"
"0,1","0,1","0,1","0,1","0,1","4650","850,6","860,6","868,7","877,5","880,1"
"0,1","0,1","0,1","0,1","0,1","4675","875,6","885,6","893,7","902,5","905,1"
"0,1","0,1","0,1","0,1","0,1","4700","900,6","910,6","918,7","927,5","930,1"
"0,1","0,1","0,1","0,1","0,1","4725","925,6","935,6","943,7","952,5","955,2"
"0,1","0,1","0,1","0,1","0,1","4750","950,6","960,6","968,7","977,5","980,2"
"0,1","0,1","0,1","0,1","0,1","4775","975,6","985,7","993,7","1.002,6","1.005,2"
"0,1","0,1","0,1","0,1","0,1","4800","1.000,7","1.010,7","1.018,7","1.027,6","1.030,2"
"0,1","0,1","0,1","0,1","0,1","4825","1.025,7","1.035,7","1.043,7","1.052,6","1.055,2"
"0,1","0,1","0,1","0,1","0,1","4850","1.050,7","1.060,7","1.068,7","1.077,6","1.080,2"
"0,1","0,1","0,1","0,1","0,1","4875","1.075,7","1.085,7","1.093,7","1.102,6","1.105,3"
"0,1","0,1","0,1","0,1","0,1","4900","1.100,7","1.110,7","1.118,8","1.127,6","1.130,3"
"0,1","0,1","0,1","0,1","0,1","4925","1.125,7","1.135,7","1.143,8","1.152,6","1.155,3"
"0,1","0,1","0,1","0,1","0,1","4950","1.150,7","1.160,7","1.168,8","1.177,7","1.180,3"
"","0,1","0,1","0,1","0,1","4975","1.175,7","1.185,7","1.193,8","1.202,7",""
"0,1","0,1","0,1","0,1","0,1","5000","1.200,7","1.210,7","1.218,8","1.227,7","1.230,3"
