"DJ EUROSTOXX50 SET22
                              DJ EUROSTOXX50 GIU22DJ EUROSTOXX50 SET22FTSE MIB INDEX FUTURE GIU22FTSE MINI INDEX FUTURE GIU22FTSE MIB INDEX FUTURE SET22FTSE MINI INDEX FUTURE SET22","Qta
							  ·","Prz Carico
						      ·","3.660
                                    +2,18%","18
                                                Bid
                                            
                                            3.658
										
                                        
                                            
                                                Ask
                                                20
											
                                            3.662","","","","",""
"CALL","Filtri","PUT"
"Pf","Delta","","Bid","","Ask","","Prezzo","17:21:05","Prezzo","","Bid","","Ask","","Delta","Pf"
"","Stima sottostante","3.660","16-09-2022","Giorni a scadenza","90",""
"","Stima sottostante","·","16-09-2022","Giorni a scadenza","90",""
"","0,4741","250","167,5","168,6","169,6","350","164,9","3750","255,7","250","254,6","255,5","256,4","250","-0,5259",""
"","0,4514","250","154,5","155,3","156,1","350","143,5","3775","·","250","266,6","267,6","268,6","598","-0,5486",""
"","0,4298","400","142,4","143,1","143,7","350","144,8","3800","297,4","250","279,1","280,3","281,4","350","-0,5702",""
"","0,4079","400","130,3","131,1","131,9","350","·","3825","·","250","292,4","293,5","294,6","250","-0,5921",""
"","0,3867","400","119,2","119,9","120,6","375","109,7","3850","·","250","306,1","307,4","308,6","325","-0,6133",""
"","0,3658","400","108,6","109,3","109,9","375","·","3875","·","400","321,0","322,3","323,6","250","-0,6342",""
"","0,3457","250","97,9","98,8","99,7","375","99,0","3900","·","250","335,5","336,7","337,9","300","-0,6543",""
"","0,3260","250","89,2","89,8","90,3","375","·","3925","·","250","350,6","352,1","353,5","236","-0,6740",""
"","0,3068","250","80,4","80,9","81,4","400","74,5","3950","·","250","366,2","368,0","369,8","222","-0,6932",""
"","0,2884","250","72,1","72,7","73,3","400","60,0","3975","·","250","383,5","385,1","386,8","507","-0,7116",""
"1","0,2706","250","64,6","65,2","65,7","425","59,5","4000","413,0","250","400,3","402,3","404,3","275","-0,7294",""
"","0,2533","250","57,3","58,0","58,7","425","53,0","4025","·","250","418,1","420,3","422,4","487","-0,7467",""
"","0,2367","250","50,9","51,6","52,3","1.300","·","4050","·","250","436,6","438,8","440,9","235","-0,7633",""
"","0,2209","250","45,1","45,7","46,3","450","·","4075","·","250","455,5","457,8","460,1","212","-0,7791",""
"","0,2033","250","39,8","40,3","40,9","450","36,9","4100","·","250","475,2","478,3","484,0","250","-0,7967",""
"","0,1889","650","35,0","35,5","36,1","750","32,7","4125","·","250","496,4","498,4","500,3","225","-0,8111",""
"-1","0,1683","250","30,7","31,1","31,6","228","27,7","4150","·","250","517,2","519,2","521,1","225","-0,8317",""
"","0,1553","775","26,8","27,3","27,7","400","24,0","4175","·","250","538,3","540,3","542,4","225","-0,8447",""
"","0,1414","250","23,6","24,0","24,4","550","22,7","4200","·","250","559,9","562,0","564,0","225","-0,8586",""
"","0,1299","250","20,6","21,0","21,3","400","·","4225","·","250","581,9","584,0","586,1","250","-0,8701",""
"-2","0,1158","250","18,0","18,4","18,8","893","16,3","4250","·","250","603,2","605,3","607,4","250","-0,8842",""
"","0,1058","550","15,7","16,1","16,5","919","·","4275","·","250","625,9","628,0","630,1","234","-0,8942",""
"","0,0953","450","13,7","14,1","14,5","825","·","4300","·","250","648,9","651,0","653,2","201","-0,9047",""
"","0,0868","775","11,8","12,2","12,6","575","·","4325","·","250","669,7","674,7","679,6","250","-0,9132",""
